City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Melekhovo,61,RU,1655374714,49,56.2773,41.2935,294.46,3.75
1,Mattawa,84,US,1655374714,62,46.7379,-119.9028,289.27,3.13
2,Jacksonville,0,US,1655374645,91,30.3322,-81.6556,299.81,0.0
3,Buncrana,100,IE,1655374715,84,55.1333,-7.45,290.02,4.71
4,Musoma,19,TZ,1655374715,54,-1.5,33.8,299.59,2.18
5,Lupşanu,26,RO,1655374715,40,44.3833,26.9,299.64,1.94
6,Bantilan,48,PH,1655374524,76,14.7519,121.6656,302.59,2.21
7,Pualas,81,PH,1655374716,91,8.0172,123.8481,298.83,1.7
8,Baliton,97,PH,1655374615,80,5.7436,125.2364,300.4,0.98
9,Weymouth,40,US,1655374716,93,42.2209,-70.9398,289.25,3.09
10,Luncoiu de Jos,73,RO,1655374716,31,46.1,22.7667,298.52,1.34
11,Tinaogan,94,PH,1655374696,73,9.7791,123.1503,302.21,1.15
12,Olfen,19,DE,1655374717,46,51.7,7.4,297.4,3.16
13,Sampiro,100,PH,1655374717,76,13.7842,121.3842,302.99,2.34
14,Cary,88,US,1655374717,82,35.7915,-78.7811,296.39,2.41
15,Leonidovo,24,RU,1655374717,77,49.2833,142.8667,288.19,0.13
16,Kruglolesskoye,53,RU,1655374718,49,44.6589,42.8142,297.11,5.97
17,Guangzhou,100,CN,1655374717,84,23.1167,113.25,302.12,1.5
18,Altoona,45,US,1655374718,94,40.5187,-78.3947,297.17,1.58
19,Elbistan,0,TR,1655374718,28,38.2059,37.1983,298.85,0.72
20,San Juan de Betulia,100,CO,1655374718,94,9.2735,-75.241,295.89,1.71
21,Bowmore,0,US,1655374719,85,34.9421,-79.3031,297.1,0.0
22,Komárov,83,CZ,1655374719,50,49.8065,13.8564,299.85,2.87
23,Guifões,40,PT,1655374720,77,41.2004,-8.6672,296.23,3.6
24,Coyoles,89,MX,1655374720,93,19.4825,-96.6858,291.69,2.62
25,Itinga,1,BR,1655374720,89,-16.6131,-41.7653,287.53,0.33
26,Camargo,14,MX,1655374720,45,27.6667,-105.1667,297.68,2.83
27,Hettstedt,70,DE,1655374721,51,51.65,11.5,298.08,5.24
28,Ituaçu,0,BR,1655374721,81,-13.8133,-41.2967,289.3,0.53
29,Banda Aceh,99,ID,1655374721,72,5.5577,95.3222,301.7,0.4
30,Sampaloc,67,PH,1655374722,79,14.5402,121.3602,301.81,2.45
31,Krutaya Gorka,70,RU,1655374722,61,55.3649,73.2231,295.97,4.45
32,Schwaigern,33,DE,1655374722,46,49.1439,9.055,302.57,4.32
33,Annāmalainagar,63,IN,1655374722,58,11.4,79.7333,305.13,5.88
34,Sâncraiu,76,RO,1655374722,45,46.8333,22.9833,295.19,2.38
35,Plombières,20,BE,1655374723,53,50.735,5.953,295.34,4.21
36,Stăniţa,25,RO,1655374723,42,47.0167,27.1,298.29,1.52
37,Colombo,100,LK,1655374724,81,6.9319,79.8478,300.57,4.01
38,Kharhiāl,100,IN,1655374725,37,20.2833,82.7667,309.05,4.51
39,Puta,6,AZ,1655374725,45,40.2967,49.6603,300.16,6.75
40,Durania,84,CO,1655374725,81,7.7131,-72.6576,291.66,1.94
41,Gyenesdiás,0,HU,1655374726,50,46.7706,17.2866,299.14,4.12
42,Warri,100,NG,1655374726,80,5.5167,5.75,300.63,0.6
43,Norwalk,100,US,1655374726,84,33.9022,-118.0817,293.5,2.06
44,East Patchogue,75,US,1655374726,85,40.767,-72.9962,292.75,3.58
45,Jhīnjhak,57,IN,1655374727,20,26.5667,79.7333,316.06,6.31
46,Ibiporã,0,BR,1655374727,94,-23.2692,-51.0481,286.55,1.03
47,Galbenu,8,RO,1655374727,36,45.2167,27.1667,299.02,2.06
48,Streetsboro,0,US,1655374728,84,41.2392,-81.3459,300.05,0.45
49,Hlubočky,100,CZ,1655374728,61,49.6178,17.3944,299.42,4.75
50,Ceamurlia de Jos,14,RO,1655374728,47,44.7333,28.7167,301.01,5.05
51,Portgordon,75,GB,1655374728,77,57.6635,-3.016,290.11,2.57
52,Künzell,38,DE,1655374729,41,50.5442,9.7179,297.43,1.79
53,Sādri,86,IN,1655374729,44,25.1833,73.4333,307.58,5.12
54,Sant Pere de Ribes,96,ES,1655374730,74,41.2667,1.7667,311.71,0.45
55,Golden,0,US,1655374730,34,39.7555,-105.2211,290.6,4.63
56,Vahagni,15,AM,1655374730,69,40.907,44.6087,295.74,1.21
57,Englewood,0,US,1655374730,42,39.6478,-104.9878,291.43,2.06
58,Chardara,4,KZ,1655374730,22,41.2547,67.9692,307.46,2.23
59,Mehrān,0,IR,1655374731,6,33.1222,46.1646,315.45,12.54
60,Dori,99,BF,1655374731,38,14.0354,-0.0345,307.75,3.53
61,Ichinoseki,91,JP,1655374693,90,38.9167,141.1333,291.4,0.99
62,Santa Rita,20,BR,1655374731,88,-7.1139,-34.9781,297.52,3.09
63,Tarnos,0,FR,1655374732,61,43.5417,-1.4628,304.59,5.66
64,Senhor do Bonfim,55,BR,1655374731,93,-10.4614,-40.1894,289.06,3.33
65,São Paulo,0,BR,1655374732,92,-23.5475,-46.6361,288.96,1.03
66,Starozhilovo,28,RU,1655374732,65,54.2254,39.916,292.55,3.07
67,Santo Amaro,61,BR,1655374733,88,-12.5467,-38.7119,293.06,1.44
68,Welkenraedt,23,BE,1655374733,48,50.6627,5.9733,295.19,3.13
69,Radomireşti,13,RO,1655374733,39,44.1167,24.6833,299.32,2.51
70,Hasselt,14,BE,1655374733,42,50.9311,5.3378,296.79,3.74
71,Mackay,0,AU,1655374734,85,-21.15,149.2,289.64,3.93
72,Talca,20,CL,1655374734,95,-35.4333,-71.6667,280.19,1.35
73,Tiep,100,PH,1655374735,71,16.2382,119.8609,301.94,3.21
74,Püspökladány,39,HU,1655374735,27,47.3167,21.1167,301.47,2.44
75,Barra do Corda,41,BR,1655374735,87,-5.5,-45.25,293.98,0.82
76,Gharo,2,PK,1655374735,53,24.7424,67.5856,308.27,10.56
77,Neulengbach,15,AT,1655374736,60,48.1974,15.9022,301.32,1.79
78,Vladimir,23,RU,1655374736,52,56.1366,40.3966,293.31,3.26
79,Wiarton,75,CA,1655374737,83,44.7407,-81.1332,294.4,4.63
80,Dombegyház,41,HU,1655374737,30,46.3333,21.1333,301.2,2.27
81,Aygek,20,AM,1655374737,26,40.1886,44.3833,301.52,2.06
82,Strongsville,40,US,1655374737,83,41.3145,-81.8357,300.72,4.63
83,Zalakomár,0,HU,1655374738,50,46.538,17.1809,299.14,4.12
84,Simcoe,45,CA,1655374738,89,42.8334,-80.2997,297.62,6.23
85,Colotenango,100,GT,1655374739,90,15.406,-91.7127,288.31,2.08
86,Borcea,8,RO,1655374739,36,44.3333,27.75,299.76,1.18
87,Zarubino,16,RU,1655374739,94,42.63,131.0922,287.04,3.87
88,Cornélio Procópio,0,BR,1655374740,91,-23.1811,-50.6467,283.51,1.96
89,Baudh,98,IN,1655374740,33,20.8416,84.3213,311.09,4.45
90,Sobreda,20,PT,1655374740,69,38.6496,-9.1898,295.88,3.09
91,Blanquefort,0,FR,1655374740,42,44.9125,-0.6366,304.43,2.57
92,Vinica,0,MK,1655374740,52,41.8828,22.5092,297.84,1.18
93,Khuchni,60,RU,1655374741,55,41.9499,47.9485,297.41,5.17
94,Kandete,17,TZ,1655374741,56,-9.15,33.8,295.59,1.61
95,Alushta,21,UA,1655374742,51,44.6667,34.4167,296.14,2.82
96,Tokyo,75,JP,1655374504,82,35.6895,139.6917,296.37,5.66
97,Taremskoye,89,RU,1655374742,54,55.9289,43.0443,293.71,3.4
98,Great Yarmouth,63,GB,1655374742,63,52.6083,1.7305,297.29,3.83
99,Jishou,98,CN,1655374743,75,28.3167,109.7167,299.1,1.95
100,Bridgetown,20,BB,1655374743,74,13.1,-59.6167,300.42,8.75
101,Matabungkay Road Locality,100,PH,1655374743,72,13.9523,120.6198,302.59,2.66
102,Jerez,100,GT,1655374744,98,14.1,-89.75,291.29,1.21
103,Poggiomarino,53,IT,1655374745,69,40.8031,14.539,304.1,2.11
104,Menzelinsk,36,RU,1655374745,56,55.7271,53.1026,298.88,5.4
105,Goedereede,15,NL,1655374745,51,51.8175,3.9806,297.56,1.68
106,Fasa,0,IR,1655374746,7,28.9383,53.6482,313.73,4.12
107,Aranjuez,65,ES,1655374746,23,40.0311,-3.6025,308.31,2.9
108,Bekhtery,2,UA,1655374746,35,46.251,32.2927,297.19,4.84
109,Atid,24,RO,1655374746,42,46.45,25.05,296.12,2.92
110,Kuldīga,88,LV,1655374747,44,56.974,21.9572,291.98,3.32
111,Naga,89,PH,1655374710,78,13.6192,123.1814,301.59,1.85
112,Bluffton,25,US,1655374747,92,32.2371,-80.8604,300.34,2.51
113,Ronse,63,BE,1655374747,49,50.7505,3.6049,298.23,2.77
114,Mogadouro,91,PT,1655374748,31,41.3403,-6.7119,301.99,1.93
115,Zvenigovo,100,RU,1655374748,63,55.9742,48.0181,292.68,3.25
116,Nagornyy,82,RU,1655374748,68,52.7959,83.5498,293.4,4.07
117,Arkhara,100,RU,1655374749,96,49.4212,130.0842,289.66,2.7
118,Mazatepec,100,MX,1655374749,74,18.7167,-99.35,296.21,0.7
119,Angarsk,77,RU,1655374749,40,52.5367,103.8864,292.55,2.74
120,Limburg,8,NL,1655374749,43,51.25,6.0,297.21,0.45
121,Mangit,4,UZ,1655374749,16,40.5971,70.9607,310.09,0.98
122,Puerto Castilla,96,HN,1655374750,82,16.0167,-85.9667,298.16,2.26
123,Balingueo,99,PH,1655374750,74,15.9555,120.4081,302.44,4.09
124,Roosevelt,0,US,1655374750,54,33.9668,-103.4505,297.27,6.97
125,Hanover,40,DE,1655374751,47,52.3705,9.7332,296.62,4.12
126,Pañgobilian,96,PH,1655374751,73,8.8011,117.8594,301.89,2.09
127,Āsbe Teferī,26,ET,1655374751,24,9.0833,40.8667,302.78,0.85
128,Chiapa,100,MX,1655374752,99,18.4669,-96.945,288.05,1.39
129,Saint George,0,US,1655374752,21,37.1041,-113.5841,295.48,1.54
130,Ílhavo,90,PT,1655374752,81,40.5999,-8.6673,297.54,0.38
131,Nizhniy Tsasuchey,7,RU,1655374753,27,50.5167,115.1333,299.92,2.88
132,Saint-Felix-de-Valois,74,CA,1655374753,91,46.1668,-73.4324,291.4,1.31
133,Barmstedt,88,DE,1655374753,54,53.7833,9.7667,294.49,1.79
134,Husasău de Tinca,43,RO,1655374753,35,46.8167,21.9167,300.38,1.77
135,Mandlā,96,IN,1655374754,48,22.6,80.3833,305.99,2.57
136,Saint-Gilles,0,FR,1655374754,29,43.6766,4.4302,306.68,2.06
137,Campagna,0,IT,1655374754,62,40.6653,15.1059,305.84,4.12
138,Richmond,75,US,1655374755,63,37.5538,-77.4603,297.14,4.12
139,Baay,75,PH,1655374755,74,18.1188,120.5753,303.92,3.09
140,Dar es Salaam,26,TZ,1655374446,62,-6.8235,39.2695,301.99,5.17
141,Paterson,100,US,1655374755,78,40.9168,-74.1718,293.57,2.57
142,Indianola,0,US,1655374756,87,41.3581,-93.5574,291.48,3.82
143,Patos,63,BR,1655374756,86,-7.0244,-37.28,295.52,1.49
144,San Jose,0,US,1655374756,72,37.3394,-121.895,287.73,2.57
145,Macea,49,RO,1655374757,36,46.3833,21.3,301.17,2.26
146,Tomilino,0,RU,1655374758,33,55.6553,37.9253,295.96,4.0
147,Novo Selo,5,MK,1655374758,49,41.4139,22.8811,299.23,1.43
148,Beauceville,64,CA,1655374758,72,46.2179,-70.7787,290.65,1.54
149,Samokov,15,BG,1655374758,51,42.3333,23.55,296.18,2.22
150,Himaao,97,PH,1655374759,79,13.5448,123.3005,301.19,1.26
151,Upper Klinan,80,PH,1655374759,82,6.2272,125.1208,297.78,1.73
152,Royal Leamington Spa,91,GB,1655374759,45,52.3,-1.5333,296.11,1.69
153,Crucea,8,RO,1655374760,35,44.5333,28.2333,300.42,2.14
154,Liozon,100,PH,1655374760,74,15.3993,119.933,302.37,1.8
155,Meseşenii de Jos,57,RO,1655374760,42,47.15,22.9833,297.24,1.29
